DialPlanName,Name,Prefix,Tag
cattolica,PSTN,*,PSTN
cattolica,+390458224160,+390458224160,S4B
cattolica,+390458224161,+390458224161,S4B
cattolica,+390458224162,+390458224162,S4B
cattolica,+390458224164,+390458224164,S4B
cattolica,+390458224167,+390458224167,S4B
cattolica,+390458224168,+390458224168,S4B
cattolica,+390458224169,+390458224169,S4B
cattolica,+390458224170,+390458224170,S4B
cattolica,+390458224171,+390458224171,S4B
cattolica,+390458224175,+390458224175,S4B
cattolica,+390458224176,+390458224176,S4B
cattolica,+390458224177,+390458224177,S4B
cattolica,+390458224178,+390458224178,S4B
cattolica,+390458224179,+390458224179,S4B
cattolica,+390458224180,+390458224180,S4B
cattolica,+390458224181,+390458224181,S4B
cattolica,+390458224182,+390458224182,S4B
cattolica,+390458224183,+390458224183,S4B
cattolica,+390458224184,+390458224184,S4B
cattolica,+390458224185,+390458224185,S4B
cattolica,+390458224186,+390458224186,S4B
cattolica,+390458224187,+390458224187,S4B
cattolica,+390458224188,+390458224188,S4B
cattolica,+390458224189,+390458224189,S4B
cattolica,+390458224190,+390458224190,S4B
cattolica,+390458224191,+390458224191,S4B
cattolica,+390458224192,+390458224192,S4B
cattolica,+390458224193,+390458224193,S4B
cattolica,+390458224194,+390458224194,S4B
cattolica,+390458224195,+390458224195,S4B
cattolica,+390458224196,+390458224196,S4B
cattolica,+390458224197,+390458224197,S4B
cattolica,+390458224199,+390458224199,S4B
cattolica,+390458224200,+390458224200,S4B
cattolica,+390458224207,+390458224207,S4B
cattolica,+390458224209,+390458224209,S4B
cattolica,+390458224256,+390458224256,S4B
cattolica,+390458224259,+390458224259,S4B
cattolica,+390458224302,+390458224302,S4B
cattolica,+390458224304,+390458224304,S4B
cattolica,+390458224306,+390458224306,S4B
cattolica,+390458224309,+390458224309,S4B
cattolica,+390458224311,+390458224311,S4B
cattolica,+390458224320,+390458224320,S4B
cattolica,+390458224325,+390458224325,S4B
cattolica,+390458224329,+390458224329,S4B
cattolica,+390458224334,+390458224334,S4B
cattolica,+390458224335,+390458224335,S4B
cattolica,+390458224343,+390458224343,S4B
cattolica,+390458224380,+390458224380,S4B
cattolica,+390458224390,+390458224390,S4B
cattolica,+390458224404,+390458224404,S4B
cattolica,+390458224409,+390458224409,S4B
cattolica,+390458224421,+390458224421,S4B
cattolica,+390458224447,+390458224447,S4B
cattolica,+390458224540,+390458224540,S4B
cattolica,+390458224542,+390458224542,S4B
cattolica,+390458224549,+390458224549,S4B
cattolica,+390458224555,+390458224555,S4B
cattolica,+390458224556,+390458224556,S4B
cattolica,+390458224557,+390458224557,S4B
cattolica,+390458224563,+390458224563,S4B
cattolica,+390458224565,+390458224565,S4B
cattolica,+390458224578,+390458224578,S4B
cattolica,+390458224583,+390458224583,S4B
cattolica,+390458224584,+390458224584,S4B
cattolica,+390458224640,+390458224640,S4B
cattolica,+390458224641,+390458224641,S4B
cattolica,+390458224643,+390458224643,S4B
cattolica,+390458224701,+390458224701,S4B
cattolica,+390458224703,+390458224703,S4B
cattolica,+390458224710,+390458224710,S4B
cattolica,+390458224722,+390458224722,S4B
cattolica,+390458224724,+390458224724,S4B
cattolica,+390458224796,+390458224796,S4B
cattolica,+390458224901,+390458224901,S4B
cattolica,+390458224902,+390458224902,S4B
cattolica,+390458224923,+390458224923,S4B
cattolica,+390458224946,+390458224946,S4B
cattolica,+390458224951,+390458224951,S4B
cattolica,+390458224958,+390458224958,S4B
cattolica,+390458236110,+390458236110,S4B
cattolica,+390458236128,+390458236128,S4B
cattolica,+390458236129,+390458236129,S4B
cattolica,+390458236134,+390458236134,S4B
cattolica,+390458236145,+390458236145,S4B
cattolica,+390458236148,+390458236148,S4B
cattolica,+390458236158,+390458236158,S4B
cattolica,+390458236160,+390458236160,S4B
cattolica,+390458236161,+390458236161,S4B
cattolica,+390458236164,+390458236164,S4B
cattolica,+390458236167,+390458236167,S4B
cattolica,+390458236175,+390458236175,S4B
cattolica,+390458236177,+390458236177,S4B
cattolica,+390458236181,+390458236181,S4B
cattolica,+390458236214,+390458236214,S4B
cattolica,+390458236234,+390458236234,S4B
cattolica,+390458236243,+390458236243,S4B
cattolica,+390458236247,+390458236247,S4B
cattolica,+390458236249,+390458236249,S4B
cattolica,+390458236250,+390458236250,S4B
cattolica,+390458236251,+390458236251,S4B
cattolica,+390458236261,+390458236261,S4B
cattolica,+390458236262,+390458236262,S4B
cattolica,+390458236268,+390458236268,S4B
cattolica,+390458236275,+390458236275,S4B
cattolica,+390458236276,+390458236276,S4B
cattolica,+390458236279,+390458236279,S4B
cattolica,+390458236283,+390458236283,S4B
cattolica,+390458236291,+390458236291,S4B
cattolica,+390458236294,+390458236294,S4B
cattolica,+390458236305,+390458236305,S4B
cattolica,+390458236306,+390458236306,S4B
cattolica,+390458236307,+390458236307,S4B
cattolica,+390458236310,+390458236310,S4B
cattolica,+390458236311,+390458236311,S4B
cattolica,+390458236313,+390458236313,S4B
cattolica,+390458236314,+390458236314,S4B
cattolica,+390458236324,+390458236324,S4B
cattolica,+390458236340,+390458236340,S4B
